Date,corr_moyenne,corr_max,corr_min,regime_naif
2015-04-01,0.36390286270612004,0.882073366028451,-0.0802260734914595,bull
2015-04-02,0.36797266818018376,0.8816899664506375,-0.08437077369393933,bull
2015-04-06,0.3669427540319366,0.8897410567321178,-0.0934818854759188,bull
2015-04-07,0.35253816173001873,0.8863204031785368,-0.10145012332934644,bull
2015-04-08,0.3481977707747374,0.9010724653928512,-0.11391171197657317,bull
2015-04-09,0.3454145196661601,0.8958397855571429,-0.11042598058791665,bull
2015-04-10,0.34557170402293375,0.8937591571670496,-0.11029629236195602,bull
2015-04-13,0.3468861278864999,0.8936241885137195,-0.10761742671168666,bull
2015-04-14,0.3417324879665605,0.8958243482716312,-0.121506365178013,bull
2015-04-15,0.3376373567624557,0.8925063620625497,-0.13397860916897464,bull
2015-04-16,0.3394574553678766,0.8973365550852475,-0.14021932070944693,bull
2015-04-17,0.3509832399419496,0.8974800655078964,-0.12233731960170438,bull
2015-04-20,0.3444596189202965,0.8980955795416137,-0.10332723506178745,bull
2015-04-21,0.3588034723853946,0.8951631335910931,-0.10244041663835747,bull
2015-04-22,0.35980493941190517,0.8897032121409747,-0.10339908625784129,bull
2015-04-23,0.3559393862187114,0.8896003064361286,-0.10102139508431386,bull
2015-04-24,0.34739949636487827,0.8704145850345101,-0.08447420989094145,bull
2015-04-27,0.3414078655624054,0.8698351249373738,-0.10424100677296218,bull
2015-04-28,0.32583698028409397,0.8717345473229382,-0.09811157937954254,bull
2015-04-29,0.3120957741587311,0.8590912254911565,-0.1147873465117187,bull
2015-04-30,0.3114786240072802,0.8413683895140526,-0.1447271181849989,bull
2015-05-01,0.31829344693248596,0.8155006525275195,-0.1366101565132819,bull
2015-05-04,0.3102732191316393,0.8188427595505829,-0.1558057707398422,bull
2015-05-05,0.3218265739005469,0.8177614564885346,-0.143647658084958,bull
2015-05-06,0.32149667510774943,0.8186894338790984,-0.1433192460830967,bull
2015-05-07,0.31676125342116845,0.814540400219692,-0.15539629633925653,bull
2015-05-08,0.32062278926023347,0.8197334266209745,-0.1695640936478976,bull
2015-05-11,0.3258353811581378,0.8174597469113516,-0.07354126749194258,bull
2015-05-12,0.3288999296300099,0.81809588208306,-0.08097118812960798,bull
2015-05-13,0.3281100798837809,0.8176467162605894,-0.0713008059770361,bull
2015-05-14,0.3413340921149323,0.8166012819119969,-0.08069787278982792,bull
2015-05-15,0.34535443893435797,0.8137412087789643,-0.0767922564978221,bull
2015-05-18,0.34215140798613214,0.8130961516683333,-0.08088166822727347,bull
2015-05-19,0.3400651595631314,0.8108262618197534,-0.08970837357360968,bull
2015-05-20,0.34261733065932665,0.807264797470879,-0.09544652553212273,bull
2015-05-21,0.3448052043063024,0.8088040272810684,-0.09471563444856222,bull
2015-05-22,0.3498020754851956,0.8187446760558041,-0.09110081851460125,bull
2015-05-26,0.3582881122604951,0.8210871160808555,-0.08990309653168944,bull
2015-05-27,0.3640261531599675,0.822301738547431,-0.07877233815996186,bull
2015-05-28,0.3617721849713096,0.8231379411346,-0.08622161231159046,bull
2015-05-29,0.35855048546676316,0.8265910897528868,-0.0817349868475769,bull
2015-06-01,0.36250041840040076,0.831629152849941,-0.07430404553364167,bull
2015-06-02,0.34673307160327543,0.8489222489259864,-0.09161431771876692,bull
2015-06-03,0.34537425166328595,0.8502440258525507,-0.0876785997972283,bull
2015-06-04,0.33197196576736493,0.8393636208397275,-0.09409854736975587,bull
2015-06-05,0.3321202633043721,0.8414967603760458,-0.0933879059068584,bull
2015-06-08,0.33335372814791936,0.825083403413182,-0.12857040099402475,bull
2015-06-09,0.32915156754930674,0.8360059527987784,-0.12952809094659537,bull
2015-06-10,0.32365157759288393,0.8430569041932153,-0.15987085979057802,bull
2015-06-11,0.3245674646006601,0.8410091777445036,-0.16496824691434442,bull
2015-06-12,0.32286738184173724,0.8430217104318775,-0.17022202620902513,bull
2015-06-15,0.3269492781199307,0.834576570799879,-0.1633600749588447,bull
2015-06-16,0.3259571714041491,0.833818433518944,-0.1269084040697013,bull
2015-06-17,0.32876539515869646,0.8332728127208227,-0.12883898242988487,bull
2015-06-18,0.33521131235284846,0.8332365267695534,-0.12218372780000626,bull
2015-06-19,0.31105952079797644,0.8176848912301482,-0.1545333591030021,bull
2015-06-22,0.3109724304328073,0.8243280426493228,-0.1540836761157197,bull
2015-06-23,0.3122569873726089,0.8258752530133676,-0.15590489345336253,bull
2015-06-24,0.3076246618852812,0.8291648814572491,-0.14973427571610834,bull
2015-06-25,0.2984649148844224,0.8314629448004233,-0.14900219818372307,bull
2015-06-26,0.29463932051300384,0.8455588767532036,-0.17526994390554598,bull
2015-06-29,0.34148573840518215,0.8730685214716546,-0.10013907845047976,bull
2015-06-30,0.33705735181414775,0.8737612533492276,-0.11055189848743294,bull
2015-07-01,0.3430878547147017,0.8780306529989644,-0.130943696797889,bull
2015-07-02,0.3426743833206489,0.8821528460606209,-0.1354032417512645,bull
2015-07-06,0.3452624516296878,0.8823930799399414,-0.13772051151527098,bull
2015-07-07,0.33583612302343807,0.8974000368740926,-0.1961199098139585,bull
2015-07-08,0.35810659533868683,0.9064657784719057,-0.13906414366043926,bull
2015-07-09,0.3595148824803501,0.9041658079445866,-0.1267206934211127,bull
2015-07-10,0.3741264999819997,0.9049345069975306,-0.11956864245239238,bull
2015-07-13,0.38655097360872204,0.9111387919889313,-0.14508248766677675,bull
2015-07-14,0.3718811532848884,0.9067109909760681,-0.1668324913336672,bull
2015-07-15,0.36608395619461015,0.9061410508863774,-0.14195559153753995,bull
2015-07-16,0.36684480590487867,0.913982479470358,-0.15837709498692384,bull
2015-07-17,0.34999777345197713,0.8996122144544584,-0.1358564168142854,bull
2015-07-20,0.35159853763413496,0.9031158602373559,-0.13062887637965526,bull
2015-07-21,0.3702425837647931,0.9027023326652154,-0.13332969603087083,bull
2015-07-22,0.3672474886569604,0.9031492304188985,-0.13599566941035635,bull
2015-07-23,0.38005513766118715,0.9027812741820428,-0.1170719154231936,bull
2015-07-24,0.3868974098851752,0.901730393077293,-0.11119377728943407,bull
2015-07-27,0.38031192261487345,0.9005651753384499,-0.1319313476559496,bull
2015-07-28,0.3837611188914731,0.9002733194078875,-0.11138079209253454,bull
2015-07-29,0.3872869228585777,0.8975499871297892,-0.08258283891418906,bull
2015-07-30,0.37580955765888535,0.8983873706196868,-0.10410718475864798,bull
2015-07-31,0.3664935500552935,0.8982181271761195,-0.10304230611660531,bull
2015-08-03,0.36010622404492715,0.8972647290966608,-0.10374622437461746,bull
2015-08-04,0.35968140090435297,0.8965532208199163,-0.09657681275355866,bull
2015-08-05,0.362205449365403,0.9043732741134457,-0.09302524329342622,bull
2015-08-06,0.36351068018207133,0.9108172205116891,-0.07851988901569885,bull
2015-08-07,0.3520991859763347,0.9093936845772095,-0.08283068930658741,bull
2015-08-10,0.34627857524160294,0.9106098200426475,-0.08562541757195496,bull
2015-08-11,0.3471237030114338,0.8946597672288265,-0.11591327537846957,bull
2015-08-12,0.34478884949289007,0.8917054235098009,-0.11574243986393436,bull
2015-08-13,0.3493389587577771,0.8906658073355274,-0.11380422582297253,bull
2015-08-14,0.3515254410403353,0.8919837220448518,-0.10964274434123836,bull
2015-08-17,0.3526026128442857,0.8961540527004775,-0.07665287998089439,bull
2015-08-18,0.34955273885415766,0.9057117299406019,-0.07515364918146165,bull
2015-08-19,0.346861532900899,0.8999690935333923,-0.09501521714508367,bull
2015-08-20,0.3673661518888688,0.9067541619727465,-0.09966411709518791,bull
2015-08-21,0.420158199851062,0.9294279500908582,-0.12149492896982174,lateral
2015-08-24,0.48956424782408736,0.9432827442609272,-0.10949132425189481,lateral
2015-08-25,0.48802985620476813,0.9420609174290693,-0.0913124739053226,lateral
2015-08-26,0.5457896670085015,0.9502891761846162,-0.03241946330361792,lateral
2015-08-27,0.5638433838485787,0.9523890215446371,-0.006851455674264723,lateral
2015-08-28,0.5600877760550566,0.9560169650105793,-0.011960434198876973,lateral
2015-08-31,0.5609014005675463,0.9556843802344505,-0.00820563956700202,lateral
2015-09-01,0.5843778206699161,0.9589518258577115,0.025347272265639677,lateral
2015-09-02,0.5931202031919502,0.9602628427329104,0.05074775624640234,lateral
2015-09-03,0.5891016670167701,0.9593814281172621,0.048201626170668706,lateral
2015-09-04,0.5939402054650226,0.956671822893355,0.03962511494484831,lateral
2015-09-08,0.6058863790743196,0.959123442071572,0.0631262864221291,lateral
2015-09-09,0.6084274012143327,0.954947838827821,0.06810715240930025,lateral
2015-09-10,0.6069283550828193,0.9553133643040659,0.06528965169022892,lateral
2015-09-11,0.6086038117900197,0.9539524656867242,0.07264832879108696,lateral
2015-09-14,0.6057455776670461,0.9540408005411684,0.07468226537358957,lateral
2015-09-15,0.6083926362566313,0.9555632908752263,0.08036717206811682,lateral
2015-09-16,0.6094491668574316,0.955041423533885,0.0794791862987364,lateral
2015-09-17,0.6064838000716607,0.9549897375495382,0.07981193779800659,lateral
2015-09-18,0.6055032574009405,0.9570587601419243,0.08225907767893871,lateral
2015-09-21,0.60481618506252,0.9563314644107813,0.073907724566236,lateral
2015-09-22,0.6105126284560536,0.9575688191183993,0.08006700761384744,lateral
2015-09-23,0.6011988884314484,0.9559167247782052,0.06631437868984673,lateral
2015-09-24,0.5963012858508878,0.9557013596331607,0.0642277340641818,lateral
2015-09-25,0.5802622280929285,0.9534955032790018,0.06193535056772233,lateral
2015-09-28,0.586607321617437,0.9540969769180582,0.06867541001331794,lateral
2015-09-29,0.583085714458713,0.9536107139494371,0.06144949259992197,lateral
2015-09-30,0.5961210767772813,0.9552086196248121,0.07585284854747198,lateral
2015-10-01,0.5881866287625576,0.9495281742763569,0.060345295299365685,lateral
2015-10-02,0.592566916773273,0.9481357139409745,0.06375096042250451,lateral
2015-10-05,0.5917623622041781,0.9491725713917124,0.06764978902701786,lateral
2015-10-06,0.5849071444485836,0.9477561480257023,0.06971963472184883,lateral
2015-10-07,0.5830733556914268,0.947485263335959,0.06802594501392034,lateral
2015-10-08,0.5836596012868202,0.9565111393270463,0.07126505061123209,lateral
2015-10-09,0.5825565839050743,0.9571397231213132,0.09255770064310725,lateral
2015-10-12,0.5913191237886608,0.9621054114885863,0.10383224458251439,lateral
2015-10-13,0.5916367085450541,0.9617939907615125,0.1045215207274969,lateral
2015-10-14,0.5785783563891006,0.9477497178439778,0.10100452086728107,lateral
2015-10-15,0.5825470891087479,0.9503990327776105,0.100995449295755,lateral
2015-10-16,0.582831031849102,0.9487280988809426,0.10326292915011993,lateral
2015-10-19,0.586664332367275,0.9304626967441769,0.10559132718756382,lateral
2015-10-20,0.5848972264399771,0.9300796860283818,0.09806581325733017,lateral
2015-10-21,0.5833377040276078,0.930769225492043,0.089827656989993,lateral
2015-10-22,0.5659980806503624,0.9310503325854445,0.1060279331257678,lateral
2015-10-23,0.5605355702437967,0.9296462530723838,0.12179280043064519,lateral
2015-10-26,0.5614760981127932,0.9300575095787744,0.11604834150004031,lateral
2015-10-27,0.5624088208332586,0.9308394598303976,0.1359280263841679,lateral
2015-10-28,0.5597599758372588,0.9278319328806043,0.14292196171412003,lateral
2015-10-29,0.5577272292270384,0.9271434691719102,0.12895275597492623,lateral
2015-10-30,0.5537874187683919,0.9282356794580632,0.11931377363492705,lateral
2015-11-02,0.5661770682745794,0.9287445218701813,0.10240046894551741,lateral
2015-11-03,0.5669000605153643,0.92809209182415,0.10541843069114135,lateral
2015-11-04,0.5652216347038006,0.9254951001114962,0.07656829745476197,lateral
2015-11-05,0.564112662261649,0.9242698029746664,0.07669136507638345,lateral
2015-11-06,0.5508701342375355,0.9276791926309956,0.07776314126058353,lateral
2015-11-09,0.5528260075474658,0.9282829091525026,0.08399659497627543,lateral
2015-11-10,0.5517616420995735,0.9280059425241575,0.07862466666952717,lateral
2015-11-11,0.5526438996115575,0.9289959044333879,0.07052222849602056,lateral
2015-11-12,0.5549817466331418,0.9301324818474109,0.07454157467607342,lateral
2015-11-13,0.5502669575285094,0.9315792194246982,0.071157582213198,lateral
2015-11-16,0.5378348766945846,0.9273753474174136,0.044597948884704676,lateral
2015-11-17,0.4947726090213839,0.9164369671984592,-0.02573267218298715,lateral
2015-11-18,0.49623955961794247,0.9183757449752367,-0.05106339267118756,lateral
2015-11-19,0.4485898323832722,0.9034118873606042,-0.10391526977069264,lateral
2015-11-20,0.4270836532102521,0.9009487742000694,-0.13091506533868458,lateral
2015-11-23,0.42829896262651557,0.9041229025844983,-0.12726831983002113,lateral
2015-11-24,0.42489041768566177,0.9035521284847277,-0.13535938438408704,lateral
