Date,AAPL,ABBV,AMD,AMZN,AXP,BA,BAC,BLK,CAT,CRM,CVX,GOOGL,GS,HD,HON,INTC,JNJ,JPM,KO,LLY,META,MRK,MS,MSFT,NEE,NKE,NVDA,PFE,PG,PLD,TSLA,UNH,UPS,WMT,XOM
2015-01-02,24.192604064941406,41.41191482543945,2.6700000762939453,15.425999641418457,79.04021453857422,113.6572036743164,14.05079460144043,268.2040710449219,69.02716064453125,58.2325553894043,68.89832305908203,26.244783401489258,154.87261962890625,78.78034973144531,70.93431854248047,27.896455764770508,76.11091613769531,46.274314880371094,29.580020904541016,57.28232955932617,77.83915710449219,38.48434829711914,28.40553092956543,39.68172836303711,19.75250244140625,40.744056701660156,0.4824230372905731,18.082536697387695,65.55573272705078,31.137056350708008,14.620667457580566,83.82877349853516,72.16658782958984,23.12754249572754,57.14555358886719
2015-01-05,23.511062622070312,40.63258361816406,2.6600000858306885,15.10949993133545,76.949951171875,112.87006378173828,13.64261245727539,261.2644958496094,65.38345336914062,57.18074035644531,66.14435577392578,25.74471664428711,150.037109375,77.12752532958984,69.58262634277344,27.581892013549805,75.57931518554688,44.83773422241211,29.580020904541016,56.718204498291016,76.58897399902344,39.05632781982422,27.51763153076172,39.31682586669922,19.543296813964844,40.08808135986328,0.47427481412887573,17.984418869018555,65.24407196044922,31.115543365478516,14.005999565124512,82.44796752929688,70.72168731689453,23.06023406982422,55.58194351196289
2015-01-06,23.513269424438477,40.43145751953125,2.630000114440918,14.76449966430664,75.30998229980469,111.54063415527344,13.23443603515625,257.2046203613281,64.9627685546875,56.227237701416016,66.11376190185547,25.109350204467773,147.00196838378906,76.89138793945312,69.41983032226562,27.06784439086914,75.20793914794922,43.67512893676758,29.804643630981445,57.00437545776367,75.55706024169922,40.59058380126953,26.725120544433594,38.73976516723633,19.61920166015625,39.852264404296875,0.45989561080932617,18.13447380065918,64.9468765258789,31.223093032836914,14.085332870483398,82.2816162109375,70.25748443603516,23.237930297851562,55.28645706176758
2015-01-07,23.842981338500977,42.06555938720703,2.5799999237060547,14.920999526977539,76.95479583740234,113.27239227294922,13.297234535217285,262.64794921875,65.96942901611328,55.96183395385742,66.0586929321289,25.035503387451172,149.19265747070312,79.52682495117188,69.92233276367188,27.635595321655273,76.86820983886719,43.74178695678711,30.17667579650879,56.60375213623047,75.55706024169922,41.45865249633789,27.106691360473633,39.23196792602539,19.798784255981445,40.675472259521484,0.45869722962379456,18.382654190063477,65.28755187988281,31.696277618408203,14.063332557678223,83.12174224853516,70.91130828857422,23.854490280151367,55.84667205810547
2015-01-08,24.75908088684082,42.50551223754883,2.609999895095825,15.02299976348877,78.04557037353516,115.27528381347656,13.57197380065918,265.7154235839844,66.64562225341797,57.593597412109375,67.57032012939453,25.12273406982422,151.5745849609375,81.28626251220703,71.19622039794922,28.149642944335938,77.4726333618164,44.71925354003906,30.541669845581055,57.944618225097656,77.57127380371094,42.29307556152344,27.51028823852539,40.38611602783203,19.91912841796875,41.614418029785156,0.4759523570537567,18.7578125,66.03413391113281,31.70345115661621,14.041333198547363,87.08943176269531,72.18623352050781,24.357969284057617,56.77620315551758
2015-01-09,24.7856388092041,41.342769622802734,2.630000114440918,14.846500396728516,77.0570068359375,115.04785919189453,13.328631401062012,262.56536865234375,65.84928131103516,57.1709098815918,66.22393798828125,24.815948486328125,149.24842834472656,79.89241790771484,70.01432800292969,28.203351974487305,76.41674041748047,43.94170379638672,30.204750061035156,57.176048278808594,77.13469696044922,42.097930908203125,27.062665939331055,40.04665756225586,19.74324607849121,41.15567398071289,0.4778696894645691,18.84438133239746,65.41802215576172,31.653255462646484,13.77733325958252,86.27427673339844,71.65663146972656,24.056415557861328,56.69615936279297
2015-01-12,24.174903869628906,41.33020782470703,2.630000114440918,14.570500373840332,76.27298736572266,114.46186065673828,13.093140602111816,260.8360290527344,65.27828216552734,56.748233795166016,64.79798126220703,24.63456153869629,147.43209838867188,79.53443145751953,69.67463684082031,28.080583572387695,76.15460968017578,43.564056396484375,29.930992126464844,56.759071350097656,76.12261962890625,41.92296600341797,26.68842887878418,39.54595947265625,19.693260192871094,41.09992980957031,0.4718782901763916,18.913650512695312,65.1788330078125,31.975894927978516,13.480667114257812,85.30106353759766,71.68279266357422,24.23680305480957,55.60655975341797
2015-01-13,24.389543533325195,40.1397590637207,2.6600000858306885,14.737000465393066,76.04288482666016,114.7242660522461,12.912604331970215,261.62542724609375,64.88763427734375,56.98414611816406,63.76982498168945,24.869478225708008,147.32057189941406,79.00883483886719,70.1700210571289,28.003868103027344,76.28567504882812,43.57146072387695,29.92396354675293,56.72636795043945,75.85472106933594,41.84894943237305,26.438936233520508,39.342288970947266,19.77101707458496,40.73548126220703,0.4711593985557556,18.723180770874023,65.45423889160156,31.33779525756836,13.616666793823242,85.73359680175781,71.99006652832031,24.045650482177734,55.403419494628906
2015-01-14,24.296607971191406,40.33604049682617,2.630000114440918,14.66349983215332,74.20210266113281,114.03328704833984,12.59076976776123,259.9488525390625,64.66226959228516,56.27639389038086,63.58623504638672,25.074161529541016,143.57643127441406,78.17862701416016,69.8444595336914,27.888782501220703,75.73221588134766,42.068241119384766,29.874835968017578,57.037086486816406,75.68604278564453,42.15176773071289,25.83721923828125,39.00284957885742,19.89321517944336,40.17812728881836,0.4730764329433441,18.74626922607422,65.22954559326172,31.344974517822266,12.845999717712402,85.9498519897461,71.5062484741211,23.31870460510254,55.24336242675781
2015-01-15,23.63719367980957,39.823150634765625,2.5199999809265137,14.34749984741211,73.18798065185547,113.8233871459961,11.931401252746582,257.4678649902344,63.866939544677734,54.172786712646484,62.833473205566406,24.97900390625,142.19029235839844,76.93710327148438,68.72627258300781,27.766021728515625,74.63270568847656,40.72051239013672,29.74848747253418,57.020721435546875,73.47341918945312,41.64033508300781,25.374919891357422,38.59550476074219,19.81730079650879,39.79222869873047,0.4697212874889374,18.700096130371094,65.13534545898438,31.38082504272461,12.791333198547363,86.88980102539062,71.45396423339844,23.52602195739746,54.7631950378418
2015-01-16,23.45352554321289,40.86796188354492,2.390000104904175,14.536999702453613,73.3243637084961,114.3831558227539,12.072693824768066,261.6931457519531,63.51850509643555,55.67676544189453,64.33285522460938,25.29867172241211,141.1865234375,79.30589294433594,69.51183319091797,27.965511322021484,75.76136779785156,41.416587829589844,29.85377311706543,57.78928756713867,74.59461212158203,42.414207458496094,25.602394104003906,39.24045944213867,20.0357666015625,39.86941909790039,0.47834882140159607,18.93095588684082,66.14286041259766,31.653255462646484,12.871333122253418,87.97943115234375,72.11428833007812,23.361780166625977,56.09288024902344
2015-01-20,24.057621002197266,40.177757263183594,2.240000009536743,14.472000122070312,74.36399841308594,114.76799011230469,11.978499412536621,260.5804138183594,63.60183334350586,56.315711975097656,65.15904998779297,25.272899627685547,139.9119415283203,78.64325714111328,70.04973602294922,27.689306259155273,73.75882720947266,41.25366973876953,30.296001434326172,58.89305877685547,75.64636993408203,42.1315803527832,25.499670028686523,39.36775207519531,20.16721534729004,40.1352424621582,0.4797869026660919,19.104106903076172,66.09939575195312,31.43100357055664,12.795332908630371,87.85468292236328,72.77462768554688,23.340240478515625,56.07441711425781
2015-01-21,24.241283416748047,39.70284652709961,2.450000047683716,14.862500190734863,74.71340942382812,115.80878448486328,12.09624195098877,262.76824951171875,64.66226959228516,56.72856521606445,66.1933364868164,25.790807723999023,141.12281799316406,78.85652923583984,70.24078369140625,27.9885311126709,74.2030258178711,41.386962890625,30.436384201049805,59.064762115478516,76.1424789428711,41.82875442504883,25.48499298095703,38.968894958496094,20.34494972229004,40.09236526489258,0.4864971339702606,18.838611602783203,66.23371124267578,31.56722068786621,13.104666709899902,90.9323501586914,73.01654815673828,23.326780319213867,56.55455780029297
2015-01-22,24.87193489074707,39.88014221191406,2.4700000286102295,15.515999794006348,71.90115356445312,118.63380432128906,12.630016326904297,271.25653076171875,65.7605209350586,57.013633728027344,66.65843200683594,26.628875732421875,145.0183563232422,80.79119110107422,70.33987426757812,28.31844139099121,75.55747985839844,42.64582443237305,30.731201171875,59.2446403503418,77.0453872680664,42.11811828613281,26.072031021118164,39.995731353759766,20.282001495361328,41.09563064575195,0.49488508701324463,18.936729431152344,66.88343048095703,32.34868621826172,13.441332817077637,94.70037078857422,74.69679260253906,23.773714065551758,57.170169830322266
2015-01-23,25.00028419494629,39.53187561035156,2.450000047683716,15.619500160217285,71.69657135009766,117.74169921875,12.347431182861328,266.99365234375,64.84404754638672,57.623085021972656,65.39157104492188,26.859331130981445,143.78355407714844,80.25801849365234,72.54084014892578,27.965511322021484,74.42150115966797,41.97197341918945,30.401296615600586,58.97482681274414,77.22399139404297,42.05082321166992,25.793184280395508,40.03815841674805,20.269041061401367,41.22856140136719,0.49632298946380615,18.728952407836914,65.75918579101562,32.48491668701172,13.419333457946777,93.16157531738281,67.2957763671875,23.830251693725586,55.951290130615234
2015-01-26,25.026832580566406,39.785152435302734,2.609999895095825,15.482999801635742,70.98926544189453,117.26065826416016,12.441627502441406,268.7001953125,65.16215515136719,58.763362884521484,66.63395690917969,26.600133895874023,143.72776794433594,81.01205444335938,72.10914611816406,27.4744815826416,74.46517944335938,42.03861618041992,30.18368911743164,58.958473205566406,76.89656066894531,42.272884368896484,25.763843536376953,39.893882751464844,20.319028854370117,41.31001663208008,0.4941660761833191,18.93095588684082,65.3941879272461,32.8720703125,13.770000457763672,92.837158203125,66.91658782958984,23.862564086914062,56.486873626708984
2015-01-27,24.150556564331055,39.95613098144531,2.700000047683716,15.337499618530273,70.22225952148438,115.8700180053711,12.268932342529297,264.2569274902344,60.48120880126953,56.80720901489258,66.2544937133789,25.830455780029297,140.59707641601562,80.09806060791016,71.40851593017578,26.231569290161133,74.3414077758789,41.61651611328125,29.7554988861084,58.64775848388672,75.18994140625,42.097930908203125,25.433618545532227,36.20237731933594,20.59117889404297,40.5168342590332,0.4704403579235077,18.81552505493164,63.138465881347656,33.78976058959961,13.732000350952148,91.50629425048828,65.93586730957031,23.566408157348633,55.98823547363281
