Date,BAC_JPM,GS_MS,CVX_XOM,BAC_MS,JPM_MS,GS_JPM,BAC_GS,AXP_JPM,AXP_BAC,BLK_MS
2015-03-31,0.8263747075710335,0.876767556916729,0.8915042799780614,0.7448958406885663,0.8078854697243882,0.8671240117556765,0.7303930487405623,0.35018767736140305,0.2181406639961235,0.8122320072529882
2015-04-01,0.8167599434978052,0.8621372033255598,0.8820733660284509,0.731914150074205,0.7896159104437969,0.8310616762237368,0.706361685461314,0.3106892396155592,0.1878196745722059,0.7869919058196302
2015-04-02,0.808242476756185,0.8546670797201513,0.8816899664506371,0.71680017312973,0.7762367363529953,0.8171927573269931,0.6881156724794965,0.2906339797018938,0.16516447235731274,0.7795057651969753
2015-04-06,0.8087378924841065,0.8509851808964817,0.8897410567321176,0.7169917178683498,0.7810598229066471,0.8229016455655975,0.688493460970315,0.29421206899125507,0.15918614698433148,0.7755229664072045
2015-04-07,0.8003989948067197,0.8481584633931767,0.8863204031785369,0.7107431047056103,0.7763663639048313,0.8182069293337235,0.6804168033693654,0.26664171689790145,0.13972501064014678,0.7723756464670934
2015-04-08,0.7954580761629985,0.842543858760425,0.9010724653928511,0.7075603507538175,0.770731814010909,0.8134599164724288,0.6719043994777136,0.25791573305452964,0.13455261691589035,0.7671956951618757
2015-04-09,0.7946023319544628,0.8415908647823791,0.8958397855571426,0.7041044959099514,0.7695019333060421,0.8120738089719169,0.6677811588533027,0.25644364153730675,0.13055796476396225,0.7653836946806468
2015-04-10,0.7982534762884493,0.8361970065787253,0.8937591571670489,0.6970874133995838,0.7651046266161958,0.8122338219572508,0.6698148136847729,0.25746459551521317,0.13077967509075386,0.7710586869809224
2015-04-13,0.7931968366435095,0.8280420563410303,0.8936241885137189,0.6840025218948733,0.7551316481504186,0.7953083280129856,0.6517279148018851,0.20765875709808473,0.09562152118806815,0.7738205611375452
2015-04-14,0.7550111708376059,0.8276454532633142,0.8958243482716312,0.684683011167694,0.7572583588450614,0.8121486230092244,0.6730217256726074,0.18674608935266393,0.0554201328489355,0.773139272894833
2015-04-15,0.7189046936058583,0.8421804508004662,0.8925063620625494,0.660182554980995,0.7614696005948852,0.8430764989189014,0.6606990259451677,0.1886180080372818,0.04850242137934819,0.7739817368976154
2015-04-16,0.7047307754061977,0.8423638768903124,0.8973365550852472,0.6553693958199007,0.7592871665062743,0.8435166831305165,0.6490632006840134,0.18477870611652067,0.06930300743356138,0.768542835036391
2015-04-17,0.7129793338731768,0.8492102914523322,0.897480065507896,0.666288292458632,0.7661098480234261,0.8491173351757393,0.6548203252347689,0.2329020696520001,0.10813529201183998,0.7782821787743754
2015-04-20,0.6806917508527397,0.8429349176630435,0.8980955795416131,0.6535081514301607,0.7564291466041808,0.8377280963523629,0.6242549040462976,0.34628363672485224,0.2534579091850324,0.7691918295408334
2015-04-21,0.6636104169645254,0.8417842535426499,0.8951631335910928,0.6507263711697545,0.7515468268111694,0.8361030729681098,0.6208553767135815,0.3417026688079175,0.2560794706074339,0.7677621001573464
2015-04-22,0.6688845164373647,0.8419873110087293,0.8897032121409739,0.6587796136330809,0.7538173667374622,0.8367864803314738,0.625164803209323,0.3499068762174753,0.2784106273924479,0.7706199490989
2015-04-23,0.6633347769183179,0.8433069949131073,0.8896003064361285,0.6508834104198202,0.7471161536413993,0.8348425819650472,0.6137987928688634,0.34390728185409264,0.27094812934696516,0.7666648064598559
2015-04-24,0.6322386183644993,0.8326437958147002,0.8704145850345095,0.6285883372953591,0.7310130977837533,0.8254537327911262,0.5880965773866582,0.34201814015629256,0.26506310050682746,0.7543534409191214
2015-04-27,0.6243027907448281,0.8301439207677288,0.869835124937373,0.6214490443918925,0.725971289395411,0.8217289858600959,0.5797029379470939,0.34332480323953735,0.26507668328069356,0.75708010886974
2015-04-28,0.6053623464036081,0.8256801908232988,0.8717345473229372,0.6088349623493878,0.7180348088031194,0.8090237125789033,0.559411252148242,0.32238542233010337,0.24649930245633367,0.742500205197967
2015-04-29,0.5966804831522643,0.8198882940494155,0.8590912254911558,0.601162387095564,0.7131558629734644,0.7997064337130146,0.5373978065324891,0.2937032623193029,0.20922799981606752,0.6529917174318022
2015-04-30,0.5674517593948016,0.8167018216598005,0.8413683895140524,0.5883432909986922,0.7055525596054414,0.7874106682433675,0.49559233335279584,0.2580348857335247,0.16632074720760479,0.6457938633925276
2015-05-01,0.5649459993522601,0.8155006525275196,0.7563037051505815,0.5857385078681063,0.7035515766070299,0.7854923726617717,0.4932661043699767,0.26027499764337775,0.16969308917417172,0.6426871810254311
2015-05-04,0.5802985624457467,0.8188427595505828,0.7478346797969293,0.5896783785462378,0.7049347812922383,0.7846478216689224,0.4915408695915352,0.2645455769381387,0.16944115144304353,0.6547900747712383
2015-05-05,0.5549822798045644,0.8177614564885347,0.7489166703289807,0.5624353365711044,0.6930119565996647,0.7803717725310543,0.4761440693683147,0.2642921472346778,0.16803437317469433,0.6571688579820585
2015-05-06,0.5550877754813225,0.8186894338790978,0.749391124387281,0.5615439743247417,0.6964876450817435,0.7822232923942388,0.4726911526447995,0.2615069751695521,0.1690581616018583,0.6592139305165408
2015-05-07,0.5477660163176713,0.8145404002196918,0.7498747274568259,0.5516539563746328,0.6948514856071211,0.7795432881199353,0.46778059404010436,0.2581689093172315,0.16166432247825366,0.6558979887224825
2015-05-08,0.5580186745068504,0.8197334266209744,0.7523208671295424,0.5594184258918261,0.7003841616402686,0.8075353611566447,0.49787392245778306,0.2675015227670947,0.17181244862147008,0.6611142187301203
2015-05-11,0.53348651129399,0.8174597469113515,0.7452495419321625,0.5482492503098514,0.6884098930816529,0.8030368904054868,0.4871630738823694,0.48968357457213635,0.37101923880255827,0.6438622310439319
